scenario,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown
659,-32.28005679739716,-32.28005679739716,26.701968442271518,-1.3198743165739422,-37.54715397435425
660,17.46929033419622,17.46929033419622,18.505209791244955,0.9620663629701603,-13.856848415165137
661,37.37326396032448,37.37326396032448,16.336057574917337,2.0261741924326704,-10.318056471882304
662,3.8868270793657844,3.8868270793657844,20.78400969279242,0.2866845052364015,-18.751935160362503
663,-17.321462753296213,-17.321462753296213,23.00916740645903,-0.7100379667005542,-30.355173348812077
664,-4.914992693953025,-4.914992693953025,22.245271444579366,-0.11380002076867234,-19.879439256914853
665,34.033079515371824,34.033079515371824,20.98008270188457,1.5010109586456009,-13.835837769448933
666,-10.484032412742184,-10.484032412742184,22.336874812874917,-0.3855879320634018,-20.53905353301344
667,38.75532919931071,38.75532919931071,20.6364257709983,1.6907611503277005,-11.081273691942267
668,-3.5668240364757464,-3.5668240364757464,19.63044257095446,-0.08679626267822764,-20.5822514839677
669,-7.410766589186135,-7.410766589186135,21.045243460407555,-0.26244666433050584,-25.009695163636707
670,-12.387479132855061,-12.387479132855061,24.547120377938953,-0.4183659594213028,-29.27289629412592
671,-6.450640839658828,-6.450640839658828,18.27048243947469,-0.2733901214264874,-17.23709096346841
672,18.412279805756746,18.412279805756746,19.941336734546272,0.9473744757015705,-18.544730103167797
673,-30.736585895490787,-30.736585895490787,19.3714602029185,-1.79702189367436,-32.990905299225034
674,38.348994350446766,38.348994350446766,20.947439680711554,1.6539608911629178,-14.375109766988171
675,-8.374573133322471,-8.374573133322471,19.258286421489558,-0.3579807341521134,-14.944171381137819
676,4.199576125880422,4.199576125880422,17.165779439690205,0.32539731547975176,-17.55737531007961
677,37.73995327595352,37.73995327595352,20.998247196106163,1.6310458764940312,-10.596426171835894
678,41.42198057736037,41.42198057736037,19.51421547455679,1.8735493729262558,-8.708245688704222
679,-8.832013080648792,-8.832013080648792,18.50764580960721,-0.4072376014175889,-16.167917788517716
680,14.366936108413707,14.366936108413707,19.199304587985424,0.7961133831366739,-14.307780861685771
681,-8.086454351568905,-8.086454351568905,25.127075302440517,-0.20419689334666302,-22.551359575348233
682,-4.774853611226093,-4.774853611226093,25.45510103401925,-0.060236841985794515,-22.42250266289233
683,-4.624053810394024,-4.624053810394024,18.454514449116473,-0.1645782203669554,-15.659178784188496
684,-32.04742438805399,-32.04742438805399,22.539068442753837,-1.5978676140964287,-38.948348127232165
685,25.416725026865407,25.416725026865407,20.89540040365967,1.187717074260251,-9.16108257893308
686,9.141162166672046,9.141162166672046,23.36710895024253,0.4922305773044949,-23.07462860009708
687,3.6576917277049814,3.6576917277049814,19.29503666137356,0.282105763747505,-15.012933775396966
688,41.51198789909281,41.51198789909281,21.916624676348416,1.6953337036945941,-13.978999339430798
689,36.30309377842374,36.30309377842374,19.302230108409873,1.7013892839790292,-12.643857569031692
690,7.199778553742098,7.199778553742098,19.843366743487937,0.4479508352010856,-15.60162183599305
691,17.746709367194047,17.746709367194047,17.69238525678727,1.0127781654721324,-15.611855859669044
692,-3.0938428835387,-3.0938428835387,21.67346634437688,-0.03739783190659113,-22.39454071858217
693,19.71968123629455,19.71968123629455,17.664433115103865,1.1072042046865227,-8.571844833404015
694,-15.850062158854406,-15.850062158854406,17.904937210935344,-0.8739707859388488,-21.8981400525678
695,-9.957587020629944,-9.957587020629944,19.763418453540975,-0.43111981394518145,-13.621287026524593
696,34.1643031920793,34.1643031920793,20.235074622987007,1.5536651919585875,-13.332000836726356
