Date,WTI,XLE,XOM,CVX,IEF,SHY,SPY
2011-11-01,92.19000244140625,41.35824203491211,43.48030471801758,57.118839263916016,78.07298278808594,69.35591888427734,94.96693420410156
2011-11-02,92.51000213623047,42.60277557373047,44.29905700683594,58.49534225463867,77.88630676269531,69.37234497070312,96.5160140991211
2011-11-03,94.06999969482422,43.72471618652344,45.15217590332031,59.385013580322266,77.52037811279297,69.3805923461914,98.27519989013672
2011-11-04,94.26000213623047,43.68792724609375,44.957489013671875,59.552894592285156,77.75181579589844,69.3805923461914,97.67582702636719
2011-11-07,95.5199966430664,43.927040100097656,45.432735443115234,60.27470016479492,77.84148406982422,69.3641586303711,98.28299713134766
2011-11-08,96.80000305175781,44.64433288574219,45.93958282470703,60.912620544433594,77.49046325683594,69.35591888427734,99.54403686523438
2011-11-09,95.73999786376953,42.67023849487305,44.57453155517578,58.349876403808594,78.17752075195312,69.37234497070312,95.86992645263672
2011-11-10,97.77999877929688,43.41205978393555,45.32905578613281,59.032493591308594,77.79666900634766,69.3805923461914,96.77288055419922
2011-11-11,98.98999786376953,44.30101013183594,45.91654968261719,59.899810791015625,77.43818664550781,69.34770202636719,98.59439849853516
2011-11-14,98.13999938964844,43.718570709228516,45.47880554199219,59.40740203857422,77.92362213134766,69.3805923461914,97.66026306152344
2011-11-15,99.37000274658203,43.66954040527344,45.55369186401367,57.784732818603516,77.81901550292969,69.37234497070312,98.14288330078125
2011-11-16,102.58999633789062,43.013553619384766,45.06986999511719,56.98950958251953,78.10287475585938,69.35591888427734,96.5860366821289
2011-11-17,98.81999969482422,42.03262710571289,44.84523391723633,56.442447662353516,78.25969696044922,69.3641586303711,95.05257415771484
2011-11-18,97.41000366210938,41.781272888183594,44.8682746887207,55.201725006103516,77.96843719482422,69.33952331542969,94.95137786865234
2011-11-21,96.91999816894531,41.03330993652344,44.298057556152344,53.94968795776367,78.18502807617188,69.34770202636719,93.14545440673828
2011-11-22,98.01000213623047,40.64707565307617,43.79121780395508,54.37831115722656,78.42398834228516,69.35591888427734,92.77960205078125
2011-11-23,96.16999816894531,39.41478729248047,42.95603942871094,52.87250518798828,78.69284057617188,69.3641586303711,90.73236083984375
2011-11-25,96.7699966430664,39.13277816772461,42.56438446044922,52.04911422729492,78.19247436523438,69.3641586303711,90.56111145019531
2011-11-28,98.20999908447266,40.5980224609375,43.68177032470703,54.01172637939453,78.19994354248047,69.37234497070312,93.18437194824219
2011-11-29,99.79000091552734,41.180442810058594,44.3095817565918,54.925376892089844,78.0505599975586,69.3805923461914,93.44905090332031
2011-11-30,100.36000061035156,43.44883346557617,46.331260681152344,57.987735748291016,77.59503173828125,69.3805923461914,97.29442596435547
2011-12-01,100.19999694824219,43.2097282409668,45.956851959228516,57.42941665649414,77.572509765625,69.38462829589844,97.27882385253906
2011-12-02,100.95999908447266,43.172943115234375,45.956851959228516,57.35045623779297,77.91670989990234,69.36825561523438,97.1932144165039
2011-12-05,100.98999786376953,43.706321716308594,46.33700180053711,57.987735748291016,77.8719253540039,69.37642669677734,98.2518539428711
2011-12-06,101.27999877929688,43.70020294189453,46.55011749267578,58.85624694824219,77.66986846923828,69.37642669677734,98.28299713134766
2011-12-07,100.48999786376953,43.283294677734375,46.69987869262695,58.946495056152344,78.02151489257812,69.40103149414062,98.64886474609375
2011-12-08,98.33999633789062,42.07554244995117,46.0029411315918,57.666282653808594,78.41809844970703,69.4093017578125,96.48486328125
2011-12-09,99.41000366210938,43.03193283081055,46.849632263183594,58.79422378540039,77.8793716430664,69.4093017578125,98.1195297241211
2011-12-12,97.7699966430664,42.026493072509766,46.10662841796875,58.128719329833984,78.14874267578125,69.4093017578125,96.68724060058594
2011-12-13,100.13999938964844,41.634117126464844,46.383087158203125,58.43891143798828,78.50782775878906,69.4093017578125,95.78425598144531
2011-12-14,94.94999694824219,40.46314239501953,45.75527572631836,56.696250915527344,78.8371353149414,69.39286804199219,94.76455688476562
2011-12-15,93.87000274658203,40.291481018066406,46.09510803222656,56.21122360229492,78.76976013183594,69.38462829589844,95.1070327758789
2011-12-16,93.52999877929688,40.72060012817383,46.16999435424805,56.88237380981445,79.1513671875,69.41754913330078,95.24808502197266
2011-12-19,93.87999725341797,40.00642395019531,45.80712127685547,56.23942184448242,79.42079162597656,69.4093017578125,94.22968292236328
2011-12-20,97.22000122070312,41.65027618408203,47.229759216308594,58.46711349487305,78.70244598388672,69.39286804199219,97.08110809326172
2011-12-21,98.66999816894531,42.11202621459961,47.874855041503906,59.45973205566406,78.4480209350586,69.36825561523438,97.26911926269531
2011-12-22,99.52999877929688,42.60456466674805,48.54874801635742,59.95599365234375,78.54532623291016,69.36001586914062,98.13077545166016
2011-12-23,99.68000030517578,42.85084533691406,49.084381103515625,60.627140045166016,78.22356414794922,69.37642669677734,99.0081787109375
2011-12-27,101.33999633789062,42.9616584777832,49.11895751953125,60.89785385131836,78.26776123046875,69.35096740722656,99.0865249633789
2011-12-28,99.36000061035156,42.1428108215332,48.48539352416992,59.758602142333984,78.76251983642578,69.367431640625,97.7861328125
