Date,WTI,XLE,XOM,CVX,IEF,SHY,SPY,FEDFUNDS,CPIAUCSL,INDPRO,UNRATE,T10Y2Y,DCOILWTICO,DGS10,VIXCLS,WTI_RETURN,XLE_RETURN,XOM_RETURN,CVX_RETURN,IEF_RETURN,SHY_RETURN,SPY_RETURN,FEDFUNDS_3M_CHANGE,FEDFUNDS_CHANGE,INFLATION_YOY,INDPRO_YOY
2024-07-24,77.58999633789062,86.71556091308594,109.15545654296875,145.07969665527344,89.74177551269531,77.83818817138672,533.0938720703125,5.33,313.566,102.5192,4.2,-0.29,84.7,4.48,12.22,0.008152711246337686,0.00011077527083190537,0.014009529998901265,0.006339822914486612,-0.0022233036094349637,0.000487847021009461,-0.02292314690370711,0.0,0.0,2.9384633061405374,-0.536517121008373
2024-07-25,78.27999877929688,88.21298217773438,111.45226287841797,147.3905487060547,89.94152069091797,77.8476791381836,530.3162231445312,5.33,313.566,102.5192,4.2,-0.29,84.7,4.48,12.22,0.00885362122617054,0.017120794756790066,0.020823290625985917,0.0158026341256168,0.002223303609435051,0.00012192457764654101,-0.005224052800104803,0.0,0.0,2.9384633061405374,-0.536517121008373
2024-07-26,77.16000366210938,88.49134063720703,111.35736083984375,147.6712188720703,90.36955261230469,77.95207977294922,536.255615234375,5.33,313.566,102.5192,4.2,-0.29,84.7,4.48,12.22,-0.014410891435045557,0.0031505589143223977,-0.0008518666539578321,0.001902450818838943,0.004747714242501794,0.0013401901404921101,0.011137465421574703,0.0,0.0,2.9384633061405374,-0.536517121008373
2024-07-29,75.80999755859375,87.73303985595703,110.1899642944336,146.51112365722656,90.521728515625,77.96155548095703,536.57080078125,5.33,313.566,102.5192,4.2,-0.29,84.7,4.48,12.22,-0.017651057634833576,-0.008606135648810822,-0.01053867248714993,-0.007886953502468055,0.001682512703435488,0.0001215507290821714,0.0005875797822236205,0.0,0.0,2.9384633061405374,-0.536517121008373
2024-07-30,74.7300033569336,89.0960693359375,112.15459442138672,149.28976440429688,90.71195983886719,77.99004364013672,533.852294921875,5.33,313.566,102.5192,4.2,-0.29,84.7,4.48,12.22,-0.014348515000907594,0.015416652635964971,0.017672402417165528,0.01878778998102792,0.0020992939539265123,0.000365346167107125,-0.005079321840049524,0.0,0.0,2.9384633061405374,-0.536517121008373
2024-07-31,77.91000366210938,89.47041320800781,112.55320739746094,150.13180541992188,91.37777709960938,78.1513900756836,542.5298461914062,5.33,313.566,102.5192,4.2,-0.29,84.7,4.48,12.22,0.041672698484094266,0.004192773639605629,0.0035478376003366756,0.005624466105912445,0.007313100005955166,0.002066671083194295,0.0161239004932032,0.0,0.0,2.9384633061405374,-0.536517121008373
2024-08-01,76.30999755859375,87.09950256347656,110.99668884277344,142.78753662109375,91.7679672241211,78.28662109375,534.8471069335938,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.020750402038847978,-0.026856819200716503,-0.0139256938586571,-0.05015584352971601,0.004260985875593195,0.0017288771538256779,-0.014262175302137978,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-02,73.5199966430664,84.85340118408203,110.93025970458984,138.97972106933594,93.18946075439453,78.72466278076172,524.8890991210938,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.03724652692098453,-0.02612609720054602,-0.0005986577168962307,-0.02702973663275157,0.0153713374442121,0.005579762329071387,-0.018793924112160257,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-05,72.94000244140625,82.98162841796875,108.92766571044922,135.34036254882812,93.28486633300781,78.70561981201172,509.6024169921875,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,-0.00792021353532362,-0.022305836610395757,-0.018217668302856257,-0.026535221299209273,0.0010232570716625158,-0.00024192256444255305,-0.029556153341004778,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-06,73.19999694824219,83.49036407470703,108.34872436523438,134.00247192382812,92.45488739013672,78.61038970947266,514.3007202148438,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.0035581604246189076,0.0061119859602757915,-0.005329089968174774,-0.00993456262724719,-0.008937068672817877,-0.0012106856061346065,0.009177305991731135,0.0,0.0,2.6109140322338353,-0.07323335444653356
2024-08-07,75.2300033569336,83.82632446289062,109.79134368896484,133.23529052734375,92.12096405029297,78.56278228759766,510.8631896972656,5.33,314.131,103.0196,4.2,-0.17,77.74,3.99,18.59,0.02735475291781767,0.0040158676654200726,0.013226734256609644,-0.005741580059682099,-0.00361828160668944,-0.0006057957948680223,-0.0067063293349822455,0.0,0.0,2.6109140322338353,-0.07323335444653356
